id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
2945792,5,спасибо,,,,,
3380332,5,отлично,,,,,
3381812,5,благодарю за оперативное решение проблемы,,,,,
3461991,5,прекрасный специалист побольше таких,,,,,
3572768,1,пересчет и скорость,,,,,
3584536,5,спасибо за обновление покраски стен,,,,,
3596020,5,выполнили быстро,,,,,
3627490,5,спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,,,,,
3695420,5,решили мой вопрос спасибо,,,,,
3716702,5,очень радует работа ук оперативно спасибо,,,,,
3726842,5,все исправили,,,,,
3745025,5,спасибо за оперативную работу,,,,,
3749719,5,выполнили отлично обработка заявки была слишком дорогой,,,,,
3751364,5,спасибо большое теперь не скрипят,,,,,
3773834,1,норм,,,,,
3791959,5,спасибо все прошло очень хорошо,,,,,
3797804,5,спасибо пришли все поменяли за минут,,,,,
3799741,5,все очень оперативно,,,,,
3802024,5,огромное спасибо,,,,,
3805876,5,все отлично спасибо,,,,,
3812092,5,хороший мастер,,,,,
3815412,5,спасибо за оперативность,,,,,
3820641,5,выполнена,,,,,
3828569,5,все супер мастер,,,,,
3829748,5,благодарю ребят,,,,,
3831509,5,спасибо большое,,,,,
3834081,5,проблема решена ручки на окна поставили спасибо за обратную связь,,,,,
3835748,5,благодарю за проделанную работу,,,,,
3835874,5,надеюсь и причину устранили а то после первого дождя будет тоже самое,,,,,
3839647,5,спасибо всё чётко,,,,,
3840353,5,благодарю,,,,,
3841026,5,спасибо сергей,,,,,
3842440,5,михаил отличный мастер своего дела сделал быстро чисто дал рекомендации,,,,,
3842790,5,хоть что то сделали,,,,,
3844645,5,профессионально быстро очень приятный мастер,,,,,
3846831,5,спасибо вопрос решили всё стало нормально,,,,,
3848236,5,татьяна владимировна большое вам спасибо,,,,,
3850118,1,спасибо за быстрый ответ,,,,,
3852179,5,огромное спасибо вам от всего подъезда,,,,,
3854073,5,все отлично,,,,,
3856028,1,свершилось,,,,,
3859764,5,спасибо мастеру,,,,,
3859780,5,спасибо вам среагировали оперативно быстро а так же всё время были на связи,,,,,
3860248,5,среагировали быстро благодарю,,,,,
3862448,5,отличный мастер,,,,,
3863351,5,спасибо по крайней мере по ночам пока шума не слышно,,,,,
3863609,5,быстро,,,,,
3866829,5,спасибо за своевременное выполнение заявки,,,,,
3866867,5,все сделали быстро спасибо,,,,,
3868883,5,всё отлично,,,,,
3872124,5,большое спасибо александру за оперативность и профессионализм,,,,,
3873692,5,оперативно и качественно спасибо,,,,,
3875262,5,благодарю всего доброго,,,,,
3877334,3,к мастеру вопросов нет,,,,,
3877901,5,мастер быстро решил проблему всё исправил очень довольна спасибо,,,,,
3878088,5,вытяжка заработала спасибо отдельное спасибо мастеру который сообщил что нет причин препятствующих подключению вытяжки к домовой вентиляции,,,,,
3878555,5,спасибо большое надолго ли,,,,,
3879856,5,всё очень четко организовано большое спасибо за работу,,,,,
3880345,5,спасибо вам большое и за дверь и за номера квартир,,,,,
3880717,3,снимаю звезду за первую отписку без выполнения работ,,,,,
3881004,5,в день создания заявки рабочие оперативно пришли и весь ужас убрали огромная благодарность,,,,,
3881460,5,спасибо все заработало,,,,,
3881636,5,спасибо решили мой вопрос на месте в офисе,,,,,
3882840,5,спасибо больше ольге птушкине за проделанную работу,,,,,
3883200,5,всё сделали хорошо починили вовремя наверное молодцы,,,,,
3883549,5,супер спасибо,,,,,
3883658,5,отлично все выполнили как и обещали,,,,,
3883736,5,очень оперативно спасибо большое,,,,,
3883745,5,мастер андрей помог подобрать оборудование краны переходники для подключения быстро и качественно произвел подключение стиральной машинки огромное ему спасибо,,,,,
3884964,5,умело подкрутили редукторы давления молодец,,,,,
3885089,5,все хорошо дверь практически бесшумно закрывается,,,,,
