id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
2945792,5,спасибо,,,,,
3380332,5,отлично,,,,,
3381812,5,благодарить за оперативный решение проблема,,,,,
3461991,5,прекрасный специалист большой такой,,,,,
3572768,1,пересчёт скорость,,,,,
3584536,5,спасибо за обновление покраска стена,,,,,
3596020,5,выполнить быстро,,,,,
3627490,5,спасибо управлять компания за то прислать грамотный специалист быстро отреагировать заявка,,,,,
3695420,5,решить мой вопрос спасибо,,,,,
3716702,5,очень радовать работа ук оперативно спасибо,,,,,
3726842,5,всё исправить,,,,,
3745025,5,спасибо за оперативный работа,,,,,
3749719,5,выполнить отлично обработка заявка быть слишком дорога,,,,,
3751364,5,спасибо большой теперь не скрипеть,,,,,
3773834,1,норма,,,,,
3791959,5,спасибо всё пройти очень хорошо,,,,,
3797804,5,спасибо прислать всё поменять за минута,,,,,
3799741,5,всё очень оперативно,,,,,
3802024,5,огромный спасибо,,,,,
3805876,5,всё отлично спасибо,,,,,
3812092,5,хороший мастер,,,,,
3815412,5,спасибо за оперативность,,,,,
3820641,5,выполнить,,,,,
3828569,5,всё супер мастер,,,,,
3829748,5,благодарить ребята,,,,,
3831509,5,спасибо большой,,,,,
3834081,5,проблема решить ручка окно поставить спасибо за обратный связь,,,,,
3835748,5,благодарить за проделать работа,,,,,
3835874,5,надеяться причина устранить а то после первый дождь быть тоже самый,,,,,
3839647,5,спасибо всё чётко,,,,,
3840353,5,благодарить,,,,,
3841026,5,спасибо сергей,,,,,
3842440,5,михаил отличный мастер свой дело сделать быстро чисто дать рекомендация,,,,,
3842790,5,хоть то сделать,,,,,
3844645,5,профессионально быстро очень приятный мастер,,,,,
3846831,5,спасибо вопрос решить всё стать нормально,,,,,
3848236,5,татьяна владимирович большой вы спасибо,,,,,
3850118,1,спасибо за быстрый ответ,,,,,
3852179,5,огромный спасибо вы от весь подъезд,,,,,
3854073,5,всё отлично,,,,,
3856028,1,свершиться,,,,,
3859764,5,спасибо мастер,,,,,
3859780,5,спасибо вы среагировать оперативно быстро а так же всё время быть связь,,,,,
3860248,5,среагировать быстро благодарить,,,,,
3862448,5,отличный мастер,,,,,
3863351,5,спасибо по крайний мера по ночь пока шум не слышный,,,,,
3863609,5,быстро,,,,,
3866829,5,спасибо за своевременный выполнение заявка,,,,,
3866867,5,всё сделать быстро спасибо,,,,,
3868883,5,всё отлично,,,,,
3872124,5,большой спасибо александр за оперативность профессионализм,,,,,
3873692,5,оперативно качественно спасибо,,,,,
3875262,5,благодарить весь добрый,,,,,
3877334,3,к мастер вопрос нет,,,,,
3877901,5,мастер быстро решить проблема всё исправить очень довольный спасибо,,,,,
3878088,5,вытяжка заработать спасибо отдельный спасибо мастер который сообщить нет причина препятствовать подключение вытяжка к домовой вентиляция,,,,,
3878555,5,спасибо большой надолго ли,,,,,
3879856,5,всё очень чётко организовать большой спасибо за работа,,,,,
3880345,5,спасибо вы большой за дверь за номер квартира,,,,,
3880717,3,снимать звезда за первый отписка без выполнение работа,,,,,
3881004,5,день создание заявка рабочий оперативно прислать весь ужас убрать огромный благодарность,,,,,
3881460,5,спасибо всё заработать,,,,,
3881636,5,спасибо решить мой вопрос место офис,,,,,
3882840,5,спасибо большой ольга птушкина за проделать работа,,,,,
3883200,5,всё сделать хорошо починить вовремя наверное молодец,,,,,
3883549,5,супер спасибо,,,,,
3883658,5,отлично всё выполнить обещать,,,,,
3883736,5,очень оперативно спасибо большой,,,,,
3883745,5,мастер андрей помочь подобрать оборудование кран переходник для подключение быстро качественно произвести подключение стиральный машинка огромный он спасибо,,,,,
3884964,5,умело подкрутить редуктор давление молодец,,,,,
3885089,5,всё хорошо дверь практически бесшумно закрываться,,,,,
