id,rating,comment,cleaned_comment,keywords,sentiment,comment_length
2945792,5,спасибо,спасибо,спасибо,positive,7
3380332,5,отлично,отлично,отлично,positive,7
3381812,5,благодарить за оперативный решение проблема,благодарить оперативный решение проблема,"благодарить, оперативный, решение",neutral,43
3461991,5,прекрасный специалист большой такой,прекрасный специалист большой,"прекрасный, специалист, большой",neutral,35
3572768,1,пересчёт скорость,пересчёт скорость,"пересчёт, скорость",neutral,17
3584536,5,спасибо за обновление покраска стена,спасибо обновление покраска стена,"спасибо, обновление, покраска",positive,36
3596020,5,выполнить быстро,выполнить быстро,"выполнить, быстро",positive,16
3627490,5,спасибо управлять компания за то прислать грамотный специалист быстро отреагировать заявка,спасибо управлять компания прислать грамотный специалист быстро отреагировать заявка,"спасибо, управлять, компания",positive,90
3695420,5,решить мой вопрос спасибо,решить вопрос спасибо,"решить, вопрос, спасибо",positive,25
3716702,5,очень радовать работа ук оперативно спасибо,очень радовать работа оперативно спасибо,"очень, радовать, работа",positive,43
3726842,5,всё исправить,всё исправить,"всё, исправить",neutral,13
3745025,5,спасибо за оперативный работа,спасибо оперативный работа,"спасибо, оперативный, работа",positive,29
3749719,5,выполнить отлично обработка заявка быть слишком дорога,выполнить отлично обработка заявка слишком дорога,"выполнить, отлично, обработка",positive,54
3751364,5,спасибо большой теперь не скрипеть,спасибо большой скрипеть,"спасибо, большой, скрипеть",positive,34
3773834,1,норма,норма,норма,neutral,5
3791959,5,спасибо всё пройти очень хорошо,спасибо всё пройти очень,"спасибо, всё, пройти",positive,31
3797804,5,спасибо прислать всё поменять за минута,спасибо прислать всё поменять минута,"спасибо, прислать, всё",positive,39
3799741,5,всё очень оперативно,всё очень оперативно,"всё, очень, оперативно",positive,20
3802024,5,огромный спасибо,огромный спасибо,"огромный, спасибо",positive,16
3805876,5,всё отлично спасибо,всё отлично спасибо,"всё, отлично, спасибо",positive,19
3812092,5,хороший мастер,хороший мастер,"хороший, мастер",positive,14
